quarter_end,year,quarter,offence,open_1yr_plus,share_of_quarter
2017-03-31,2017,Q1,Miscellaneous crimes against society,730.0,0.18584521384928718
2017-03-31,2017,Q1,Violence against the person,694.0,0.17668024439918534
2017-03-31,2017,Q1,Sexual offences,609.0,0.155040733197556
2017-03-31,2017,Q1,Drug offences,435.0,0.11074338085539714
2017-03-31,2017,Q1,Fraud offences,369.0,0.0939409368635438
2017-03-31,2017,Q1,Theft offences,325.0,0.08273930753564154
2017-03-31,2017,Q1,Not known,277.0,0.0705193482688391
2017-03-31,2017,Q1,Possession of weapons,130.0,0.03309572301425662
2017-03-31,2017,Q1,Robbery,129.0,0.03284114052953157
2017-03-31,2017,Q1,Public order offences,81.0,0.020621181262729125
2017-03-31,2017,Q1,Criminal damage and arson,60.0,0.015274949083503055
2017-03-31,2017,Q1,Summary non-motoring,53.0,0.0134928716904277
2017-03-31,2017,Q1,Summary motoring,36.0,0.009164969450101833
2017-06-30,2017,Q2,Violence against the person,650.0,0.17347211102215104
2017-06-30,2017,Q2,Miscellaneous crimes against society,648.0,0.17293835068054444
2017-06-30,2017,Q2,Sexual offences,638.0,0.17026954897251134
2017-06-30,2017,Q2,Drug offences,415.0,0.11075527088337336
2017-06-30,2017,Q2,Fraud offences,367.0,0.09794502268481452
2017-06-30,2017,Q2,Not known,281.0,0.07499332799572991
2017-06-30,2017,Q2,Theft offences,269.0,0.0717907659460902
2017-06-30,2017,Q2,Possession of weapons,128.0,0.03416066186282359
2017-06-30,2017,Q2,Robbery,110.0,0.029356818788364023
2017-06-30,2017,Q2,Public order offences,82.0,0.021884174005871365
2017-06-30,2017,Q2,Criminal damage and arson,66.0,0.017614091273018415
2017-06-30,2017,Q2,Summary non-motoring,61.0,0.016279690419001867
2017-06-30,2017,Q2,Summary motoring,32.0,0.008540165465705898
2017-09-30,2017,Q3,Violence against the person,636.0,0.18022102578634175
2017-09-30,2017,Q3,Miscellaneous crimes against society,612.0,0.17342023236044204
2017-09-30,2017,Q3,Sexual offences,579.0,0.16406914139982998
2017-09-30,2017,Q3,Fraud offences,379.0,0.10739586285066591
2017-09-30,2017,Q3,Drug offences,347.0,0.09832813828279965
2017-09-30,2017,Q3,Not known,284.0,0.08047605553981298
2017-09-30,2017,Q3,Theft offences,254.0,0.07197506375743837
2017-09-30,2017,Q3,Possession of weapons,114.0,0.03230376877302352
2017-09-30,2017,Q3,Robbery,100.0,0.028336639274582034
2017-09-30,2017,Q3,Public order offences,90.0,0.02550297534712383
2017-09-30,2017,Q3,Summary non-motoring,62.0,0.017568716350240862
2017-09-30,2017,Q3,Criminal damage and arson,41.0,0.011618022102578634
2017-09-30,2017,Q3,Summary motoring,31.0,0.008784358175120431
2017-12-31,2017,Q4,Violence against the person,622.0,0.18107714701601166
2017-12-31,2017,Q4,Sexual offences,566.0,0.16477438136826783
2017-12-31,2017,Q4,Miscellaneous crimes against society,539.0,0.1569141193595342
2017-12-31,2017,Q4,Drug offences,364.0,0.10596797671033478
2017-12-31,2017,Q4,Fraud offences,361.0,0.10509461426491994
2017-12-31,2017,Q4,Not known,289.0,0.08413391557496361
2017-12-31,2017,Q4,Theft offences,252.0,0.07336244541484715
2017-12-31,2017,Q4,Possession of weapons,116.0,0.033770014556040756
2017-12-31,2017,Q4,Robbery,93.0,0.027074235807860263
2017-12-31,2017,Q4,Public order offences,91.0,0.026491994177583696
2017-12-31,2017,Q4,Summary non-motoring,71.0,0.02066957787481805
2017-12-31,2017,Q4,Criminal damage and arson,46.0,0.01339155749636099
2017-12-31,2017,Q4,Summary motoring,25.0,0.00727802037845706
2018-03-31,2018,Q1,Violence against the person,615.0,0.18479567307692307
2018-03-31,2018,Q1,Sexual offences,556.0,0.16706730769230768
2018-03-31,2018,Q1,Miscellaneous crimes against society,534.0,0.16045673076923078
2018-03-31,2018,Q1,Drug offences,380.0,0.1141826923076923
2018-03-31,2018,Q1,Fraud offences,322.0,0.0967548076923077
2018-03-31,2018,Q1,Not known,295.0,0.08864182692307693
2018-03-31,2018,Q1,Theft offences,241.0,0.07241586538461539
2018-03-31,2018,Q1,Possession of weapons,102.0,0.03064903846153846
2018-03-31,2018,Q1,Public order offences,82.0,0.024639423076923076
2018-03-31,2018,Q1,Robbery,77.0,0.023137019230769232
2018-03-31,2018,Q1,Summary non-motoring,61.0,0.018329326923076924
2018-03-31,2018,Q1,Criminal damage and arson,41.0,0.012319711538461538
2018-03-31,2018,Q1,Summary motoring,22.0,0.006610576923076923
2018-06-30,2018,Q2,Violence against the person,557.0,0.16899271844660194
2018-06-30,2018,Q2,Sexual offences,550.0,0.16686893203883496
