quarter_end,year,quarter,age_band,age_order,count
2017-12-31,2017,Q4,12 to 16 weeks,4.0,3511.0
2017-12-31,2017,Q4,16 to 20 weeks,5.0,3092.0
2017-12-31,2017,Q4,20 to 26 weeks,6.0,3786.0
2017-12-31,2017,Q4,6 months to under 1 year,7.0,6854.0
2017-12-31,2017,Q4,1 to 2 years,8.0,2539.0
2017-12-31,2017,Q4,2 years or more,9.0,896.0
2018-03-31,2018,Q1,Under 4 weeks,1.0,7119.0
2018-03-31,2018,Q1,4 to 8 weeks,2.0,5005.0
2018-03-31,2018,Q1,8 to 12 weeks,3.0,4024.0
2018-03-31,2018,Q1,12 to 16 weeks,4.0,3007.0
2018-03-31,2018,Q1,16 to 20 weeks,5.0,3087.0
2018-03-31,2018,Q1,20 to 26 weeks,6.0,3629.0
2018-03-31,2018,Q1,6 months to under 1 year,7.0,6520.0
2018-03-31,2018,Q1,1 to 2 years,8.0,2473.0
2018-03-31,2018,Q1,2 years or more,9.0,855.0
2018-06-30,2018,Q2,Under 4 weeks,1.0,7434.0
2018-06-30,2018,Q2,4 to 8 weeks,2.0,4864.0
2018-06-30,2018,Q2,8 to 12 weeks,3.0,3958.0
2018-06-30,2018,Q2,12 to 16 weeks,4.0,3200.0
2018-06-30,2018,Q2,16 to 20 weeks,5.0,2745.0
2018-06-30,2018,Q2,20 to 26 weeks,6.0,3171.0
2018-06-30,2018,Q2,6 months to under 1 year,7.0,5884.0
2018-06-30,2018,Q2,1 to 2 years,8.0,2445.0
2018-06-30,2018,Q2,2 years or more,9.0,851.0
2018-09-30,2018,Q3,Under 4 weeks,1.0,7090.0
2018-09-30,2018,Q3,4 to 8 weeks,2.0,4958.0
2018-09-30,2018,Q3,8 to 12 weeks,3.0,4028.0
2018-09-30,2018,Q3,12 to 16 weeks,4.0,3276.0
2018-09-30,2018,Q3,16 to 20 weeks,5.0,2776.0
2018-09-30,2018,Q3,20 to 26 weeks,6.0,2994.0
